code,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,largest_majority,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,news,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,serbian.4,bosniak.4,croatian.4,matched_percentage.4,percentage_bosniak.4,percentage_serbian.4,percentage_croatian.4,largest_majority_online_4,bosniak.3,serbian.3,croatian.3,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,largest_majority_online,time_online,fractionalization_offline_index,shannon_offline,activ,happiness,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,happier,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,donation
168,0,2,4,0,1,1,22,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,0,3,4,3,1,4,5,0,5,0,0,"TV,Online website stranice,Facebook",2,2,1,2,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,543,0.511310552,0.725731858,1,-4,4,3,2,4,3,4,2,4,3,0,2,0,1,1,1,-1,1,-1,1,80,96,1,2,1,2,3,3,6,-3,-3,-1,-1,1,6,2,7,2,3,3,-3,-2,-3,0,2,0,-2,0,-1,0,0,0,0,0,-1,-3,0,0,-1,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija"
169,0,2,2,0,0,1,24,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,2,3,3,2,2,3,5,2,5,1,0,"TV,Facebook",4,1,1,2,4,4,4,2,3,2,2,2,222,11,83.89261745,88.8,0.8,4.4,88.8,222.5,9.5,16.5,83.38926174,89.53722334,3.822937626,6.639839034,89.53722334,735,0.511310552,0.725731858,"1,3,4",-4,4,2,2,3,3,4,2,4,3,-2,2,0,0,0,1,0,0,1,1,50,70,2,2,2,2,3,2,6,-3,-3,-3,0,5,4,0,4,0,1,3,-3,-2,0,-2,0,0,-2,-2,0,0,0,0,-2,0,0,-2,1,-1,0,0,0,-1,-1,"Sarajevo,Zenica"
170,0,2,2,1,1,1,28,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,2,4,1,2,4,3,4,0,4,0,0,Ne pratim vijesti,0,0,1,0,4,3,4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798,0.511310552,0.725731858,5,0,3,1,1,2,1,4,1,3,3,4,1,0,1,0,1,0,0,0,1,10,51,1,1,0,3,3,3,1,-3,-3,-3,-3,1,1,-1,4,-3,3,-2,-3,-3,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sarajevo
171,0,2,2,0,1,1,26,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,2,4,2,4,2,4,5,0,3,1,0,"Online website stranice,Facebook",5,1,1,1,4,3,1,1,1,3,3,11,470,26,77.65667575,82.45614035,1.929824561,4.561403509,82.45614035,473.8333333,44.83333333,50.33333333,77.52043597,83.27475103,7.879320445,8.84592853,83.27475103,187,0.511310552,0.725731858,"1,5",-3,4,3,4,4,1,4,4,4,4,1,3,0,1,-1,-1,1,-1,1,1,34,80,1,1,0,2,1,1,6,-3,-3,-3,-3,0,4,3,4,0,3,3,-3,-3,-3,-3,3,4,4,4,4,4,-4,-4,4,-4,4,4,-4,4,4,4,-4,-4,4,"Tuzla,Bijeljina,Prijedor,Tomislavgrad,Livno"
172,1,2,4,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,0,2,0,3,4,2,2,1,5,0,5,0,0,"TV,Facebook",5,1,2,1,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,1,-4,5,1,1,2,3,5,1,5,3,-4,3,0,0,1,-1,0,1,0,1,70,100,1,1,1,2,3,3,6,-3,-3,0,1,1,5,3,7,2,3,2,-3,-2,-2,0,3,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
173,1,2,4,0,0,1,21,0.66763052,0.20304772,0.0416,66.764,4,4,0,4,1,4,4,4,3,4,5,2,5,0,0,"Online website stranice,Facebook",0,1,2,2,4,4,4,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,2",-4,3,4,4,4,3,3,4,3,4,-2,3,-1,1,1,0,-1,1,1,-1,100,100,1,2,2,3,3,4,6,-3,-3,-3,-3,2,7,0,7,2,3,3,3,-1,-3,0,3,0,2,0,-4,0,0,0,-4,0,0,-4,0,0,-3,4,4,4,-4,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
174,0,2,5,1,3,2,40,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,2,3,4,2,3,2,0,0,2,0,0,"TV,Facebook",3,2,2,0,4,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,0.511310552,0.725731858,6,4,4,1,1,3,1,4,1,5,3,-4,2,1,1,0,1,1,0,1,1,92,94,1,2,1,3,3,3,6,-3,-3,-3,-3,1,7,1,7,3,3,3,-3,-3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Druga lokacija"
175,0,2,2,0,2,2,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,0,4,4,2,1,4,5,5,5,0,0,"Online website stranice,Facebook",5,1,1,1,4,3,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,634,0.511310552,0.725731858,"1,5",1,3,4,2,5,4,3,3,2,3,1,2,0,-1,1,1,0,-1,1,0,75,90,2,3,0,1,3,1,6,-2,-3,-3,2,6,6,3,7,2,2,2,-2,-1,-3,-1,-3,0,0,0,0,0,0,0,0,0,-1,1,-1,-3,3,-4,-4,-2,2,"Bijeljina,Tomislavgrad,Livno"
176,1,2,5,1,-1,1,26,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,1,3,4,1,1,4,0,0,1,0,0,"Online website stranice,Facebook",2,1,1,1,4,3,4,3,3,4,4,2,243,8,40.36979969,92.7480916,0.763358779,3.053435115,92.7480916,243.5,6,11.5,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,6,-4,5,1,1,1,1,5,1,5,3,-3,2,1,1,1,1,1,0,1,1,97,100,1,1,1,2,1,3,6,-3,-3,-3,0,4,5,2,7,0,3,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno
177,1,2,4,0,1,1,27,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,1,1,3,1,0,4,4,0,3,0,0,"TV,Online website stranice,Facebook",0,0,1,1,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,2",0,2,3,4,4,4,2,4,2,2,0,2,0,1,1,1,0,1,1,1,7,90,1,2,1,2,2,3,5,-3,-3,-3,1,0,4,-1,5,1,0,1,-3,-3,-3,-3,3,0,0,-2,-2,0,1,-1,0,0,-2,-2,2,3,-2,-1,-2,-3,-2,Druga lokacija
178,1,2,5,0,1,1,26,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,2,4,3,2,1,4,5,0,5,0,0,"Online website stranice,Facebook",3,0,1,2,4,4,1,2,1,2,4,3,217,15,83.28173375,80.66914498,1.115241636,5.576208178,80.66914498,218.8333333,19.33333333,29.83333333,82.97213622,81.65422886,7.213930348,11.1318408,81.65422886,0,0.511310552,0.725731858,"1,4",-4,5,1,1,2,3,4,2,4,2,4,3,0,0,0,1,0,0,0,1,70,50,1,3,1,3,1,1,7,-3,-3,-3,-1,5,7,3,7,-1,3,3,-3,-3,0,0,3,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,Svejedno
179,1,2,3,0,-2,1,38,0.66763052,0.20304772,0.0416,66.764,4,3,2,2,2,3,4,1,1,1,0,0,2,0,0,"TV,Facebook",5,1,1,1,3,2,4,3,3,3,3,1,106,0,81.15942029,94.64285714,0.892857143,0,94.64285714,106.3333333,3.333333333,2.333333333,81.15942029,94.94047619,2.976190476,2.083333333,94.94047619,0,0.511310552,0.725731858,4,4,5,1,2,1,1,4,1,5,2,-4,1,1,0,0,1,0,0,1,1,100,100,1,2,2,4,4,1,6,-3,-3,-3,-3,0,4,-3,4,-3,3,3,-3,-1,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zenica,Doboj,Livno"
180,1,1,2,1,2,2,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,1,3,3,0,0,4,5,3,4,0,0,Online website stranice,5,4,3,1,4,3,4,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,5,-4,1,1,1,5,2,3,2,2,4,-4,1,0,0,0,1,0,1,1,-1,86,100,5,5,4,5,5,5,1,-3,-3,-2,-3,5,1,-3,1,-3,3,3,3,3,2,3,3,-2,-1,-4,-4,-4,-4,-4,1,2,-4,-4,-4,1,2,1,-1,3,4,Zenica
181,0,2,5,1,-1,2,31,0.66763052,0.20304772,0.0416,66.764,4,4,3,2,3,4,2,1,1,4,3,0,4,0,0,"TV,Online website stranice",5,3,1,1,4,4,0,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,0.511310552,0.725731858,"1,3",-1,3,2,4,2,4,3,2,3,3,1,1,0,0,0,1,0,0,1,1,50,60,1,2,1,2,3,1,7,-2,-3,-3,-1,3,6,1,2,-2,1,1,-2,-1,-2,0,2,0,-1,2,-1,0,0,0,-1,-1,1,-1,-1,1,0,0,-1,0,0,"Banja Luka,Bijeljina,Prijedor"
