code,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,largest_majority,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,news,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,serbian.4,bosniak.4,croatian.4,matched_percentage.4,percentage_bosniak.4,percentage_serbian.4,percentage_croatian.4,largest_majority_online_4,bosniak.3,serbian.3,croatian.3,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,largest_majority_online,time_online,fractionalization_offline_index,shannon_offline,activ,happiness,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,happier,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,donation
192,1,1,2,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,1,4,4,1,2,2,5,0,5,0,0,"Online website stranice,Facebook",5,1,1,2,4,4,3,2,0,2,1,1,58,6,71.42857143,82.85714286,1.428571429,8.571428571,82.85714286,58.33333333,3.833333333,7.833333333,71.42857143,83.33333333,5.476190476,11.19047619,83.33333333,0,0.511310552,0.725731858,"1,2,3,4",4,3,3,4,1,1,3,3,3,1,-4,3,-1,-1,0,0,0,1,1,0,20,30,1,2,2,1,4,1,6,-3,-3,-3,-1,1,5,3,1,-1,3,1,-3,-2,-1,-3,3,0,4,0,-2,0,4,4,-4,0,-2,0,0,-2,-2,0,-1,0,-2,Druga lokacija
193,1,2,2,0,1,1,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,1,3,4,1,0,4,5,5,5,0,0,"Online website stranice,Facebook",0,1,1,1,4,4,4,3,4,3,4,17,751,30,81.5324165,90.48192771,2.048192771,3.614457831,90.48192771,754.3333333,33.83333333,40.33333333,81.38506876,91.04807886,4.083685375,4.868235767,91.04807886,0,0.511310552,0.725731858,"1,4",2,4,1,3,2,4,4,1,5,0,-4,3,1,0,1,1,0,1,-1,1,96,100,2,2,0,3,4,2,6,-3,-3,-3,-3,1,4,3,7,-3,3,3,-1,-3,-3,0,3,0,-2,1,-1,0,0,1,-4,0,4,-4,-4,0,-1,0,-4,-4,-4,"Sarajevo,Zenica,Tuzla"
194,1,2,2,0,1,1,25,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,3,3,4,4,4,4,5,0,5,0,0,Online website stranice,1,2,2,1,4,3,2,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,1,4,4,2,2,2,2,4,4,4,4,0,2,0,1,1,-1,1,-1,1,0,92,100,2,2,1,2,2,2,6,-2,-3,-3,-2,2,2,0,6,0,3,3,0,0,0,-2,2,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno
195,0,2,3,0,1,1,34,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,2,3,3,2,2,3,5,1,4,0,0,Facebook,0,0,1,0,4,2,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,0.511310552,0.725731858,2,0,3,3,3,4,4,2,3,2,3,0,2,-1,0,0,1,0,0,0,1,60,89,1,1,4,2,2,1,1,3,-3,-3,-3,1,1,-3,4,-3,3,3,-3,-3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuzla
196,1,1,5,1,1,1,28,0.66763052,0.20304772,0.0416,66.764,4,4,3,3,3,3,3,3,4,3,5,0,2,0,0,"TV,Novine (print),Online website stranice,Facebook",5,4,3,2,3,3,3,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,6",3,2,4,3,3,4,3,4,2,4,-2,3,1,-1,0,1,1,1,1,1,80,81,3,3,2,2,3,3,6,-2,-2,-2,3,2,6,3,3,3,1,1,-3,-2,-1,-2,-3,2,2,2,2,-2,-3,-3,0,-1,4,-4,1,2,1,2,0,-1,1,Sarajevo
197,1,1,4,1,0,2,26,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,2,3,4,1,1,4,0,0,5,0,0,Online website stranice,5,2,1,1,4,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,6,1,3,1,1,2,3,3,3,3,2,0,1,1,-1,1,1,1,1,1,1,20,90,2,2,1,2,2,3,3,-2,-2,-2,2,1,7,-1,3,1,2,2,-2,-1,-1,-3,2,3,0,3,1,-2,-2,2,-2,1,1,1,-1,1,1,1,1,-1,0,"Zenica,Tuzla,Druga lokacija"
198,1,2,2,0,2,2,21,0.66763052,0.20304772,0.0416,66.764,4,1,0,1,1,3,4,2,2,4,5,1,5,0,0,Online website stranice,3,0,2,2,3,2,4,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,5,2,5,3,3,2,3,4,2,4,3,1,1,-1,1,0,1,-1,0,0,1,90,92,2,3,2,4,3,4,7,-1,-1,0,1,6,4,2,7,1,-1,-1,2,1,0,3,-2,0,0,0,0,0,0,0,0,0,-2,1,4,1,-4,0,4,-1,-1,"Sarajevo,Doboj,Tuzla,Bijeljina,Prijedor,Svejedno"
199,0,1,4,0,2,2,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,1,2,3,1,1,4,5,1,5,0,0,"Online website stranice,Facebook",1,0,1,1,4,4,2,1,2,2,2,9,414,31,76.89922481,83.46774194,1.814516129,6.25,83.46774194,420.3333333,28.33333333,45.83333333,76.66666667,85.0016852,5.729693293,9.268621503,85.0016852,220,0.511310552,0.725731858,1,-2,4,1,2,3,3,4,1,4,3,0,1,0,1,0,1,0,0,0,1,60,60,1,1,1,3,2,1,7,0,-3,-3,0,3,4,3,4,1,2,1,-3,-2,-2,1,3,0,0,0,0,0,0,0,0,0,0,-4,3,0,-3,-2,-1,-1,-3,Svejedno
200,1,1,5,0,3,2,22,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,2,2,2,2,1,4,4,0,2,0,0,"TV,Online website stranice",4,2,2,1,4,4,3,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,4,0,3,3,2,3,3,4,2,4,4,0,1,0,1,1,1,1,1,-1,1,73,93,3,3,1,4,5,4,5,-2,0,-2,-1,5,4,2,4,-2,2,2,1,2,0,0,-1,1,-1,-1,-1,0,0,1,-2,0,4,2,-1,0,-2,-2,-2,-2,-2,"Sarajevo,Zenica,Druga lokacija"
201,0,2,4,1,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,2,3,2,3,4,4,5,0,5,0,0,"TV,Online website stranice,Facebook",5,2,1,1,4,4,4,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1080,0.511310552,0.725731858,"1,5",-3,4,2,1,3,3,4,2,3,1,-3,2,1,0,1,1,1,1,-1,1,60,90,2,2,2,4,5,3,6,-3,-3,-3,2,4,3,3,7,3,3,2,-2,-2,-3,-2,-1,1,-2,0,-3,2,2,3,-3,2,-1,1,4,4,-3,3,4,-2,-1,"Sarajevo,Banja Luka,Prijedor"
202,1,2,4,0,1,1,27,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,2,3,4,2,3,2,4,0,5,0,0,Facebook,5,2,3,1,4,2,4,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,4,6",2,4,2,2,4,4,4,2,3,2,0,3,0,1,1,1,0,1,1,1,10,70,2,2,2,3,1,3,6,-1,-3,-3,1,5,7,0,7,3,3,2,-1,-1,-1,1,3,0,-1,4,0,0,0,0,0,-1,0,-4,0,1,4,0,0,0,0,Sarajevo
203,0,1,5,1,1,1,29,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,2,3,4,2,0,3,5,2,5,0,0,Facebook,5,4,2,2,4,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,0.511310552,0.725731858,3,-4,4,2,2,2,2,4,1,4,4,0,2,1,0,0,1,0,1,1,1,100,100,2,4,3,3,4,3,7,-2,-1,-1,2,6,7,3,7,3,2,2,1,1,1,1,-2,-4,0,0,-4,0,0,0,0,0,-4,0,-2,0,0,0,-1,-1,0,Svejedno
204,1,2,4,1,3,1,28,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,1,3,3,1,1,4,5,1,5,0,0,"Online website stranice,Facebook",5,1,1,1,4,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,2,4",3,4,2,2,2,3,4,2,3,3,2,2,0,0,0,-1,0,0,0,1,82,85,2,1,1,2,2,1,7,-3,-3,-3,-3,0,4,-2,4,-2,0,2,-3,-3,-2,0,3,4,0,0,0,0,-4,-4,2,-1,0,-1,-1,-1,-2,0,0,0,0,"Sarajevo,Prijedor,Druga lokacija"
205,1,2,2,0,0,1,20,0.66763052,0.20304772,0.0416,66.764,4,4,0,1,0,2,4,1,2,4,5,1,5,0,0,"Online website stranice,Facebook",5,2,1,2,4,2,4,1,1,2,2,1,67,2,90,93.05555556,1.388888889,2.777777778,93.05555556,67,2.5,2.5,90,93.05555556,3.472222222,3.472222222,93.05555556,0,0.511310552,0.725731858,"2,4,5",-3,5,2,2,1,2,4,2,5,1,0,2,0,0,0,1,-1,0,0,0,75,95,1,2,2,4,4,4,5,-3,-3,-3,-2,4,2,2,7,2,1,1,-1,-1,-3,1,-1,0,-3,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Svejedno"
206,1,2,2,0,1,1,20,0.66763052,0.20304772,0.0416,66.764,4,4,0,2,0,4,3,3,0,4,5,0,4,0,0,"TV,Novine (print),Online website stranice,Facebook",5,1,1,2,4,4,1,2,1,3,3,7,572,33,77.93103448,84.36578171,1.032448378,4.867256637,84.36578171,576.1666667,40.66666667,57.16666667,77.47126437,85.48466864,6.033630069,8.481701286,85.48466864,0,0.511310552,0.725731858,"1,4,5",-3,4,1,1,2,2,4,1,4,3,-2,1,0,1,1,1,-1,1,1,-1,92,84,2,2,2,3,2,3,7,-2,-3,-3,-3,1,4,-1,4,-1,0,2,0,0,-1,0,2,0,-2,2,2,1,-2,-2,0,2,-2,-2,0,-1,-4,-2,2,2,-2,"Sarajevo,Zenica,Tuzla,Livno"
207,1,2,5,0,3,1,27,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,3,4,4,2,2,4,4,0,5,0,0,"Online website stranice,Facebook",1,1,1,0,4,3,0,1,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,1,-2,3,2,2,4,3,3,2,2,2,1,3,0,1,0,1,0,0,0,0,92,92,1,1,0,1,1,1,7,-3,-3,-3,-2,0,7,0,7,0,3,3,-3,-3,-3,-3,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Svejedno
208,1,2,4,1,2,2,25,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,3,4,4,4,4,3,5,3,5,0,0,Facebook,5,2,1,1,4,4,1,2,0,3,0,136,863,139,78.49406911,56.70170828,8.935611038,9.132720105,56.70170828,865,337.75,314.75,78.26199072,57.00164745,22.25700165,20.74135091,57.00164745,0,0.511310552,0.725731858,"1,6",-3,4,2,1,1,1,4,1,4,0,0,2,1,-1,1,1,1,-1,0,1,98,73,1,2,1,2,1,1,7,-3,-3,-3,-3,0,1,-3,7,0,3,3,3,0,-3,3,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,"Sarajevo,Tomislavgrad"
209,1,1,2,1,0,1,22,0.66763052,0.20304772,0.0416,66.764,4,3,1,2,2,3,3,1,3,4,5,4,5,0,0,"TV,Online website stranice",0,0,2,2,4,4,0,3,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,2,3",0,3,1,1,1,1,3,1,2,4,0,2,0,-1,0,1,0,0,0,1,81,66,2,2,4,3,3,1,7,-3,-3,3,-3,0,4,1,4,0,0,3,2,0,-1,0,-1,-4,0,-4,-4,0,4,0,0,0,-2,-3,0,0,0,0,0,0,0,"Sarajevo,Livno"
210,1,1,2,1,1,1,26,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,1,1,3,1,1,3,2,0,5,0,1,"Online website stranice,Facebook",2,3,2,0,3,3,1,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,2,4",0,4,3,2,2,2,3,2,4,4,0,2,-1,0,1,1,0,0,0,1,80,90,1,1,1,1,1,1,6,-2,-2,-2,1,2,6,0,7,-2,2,2,0,-2,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija,Svejedno"
211,0,2,4,1,0,1,40,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,2,3,3,1,1,2,4,0,1,0,0,Facebook,4,1,1,1,4,4,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,593,0.511310552,0.725731858,4,2,4,3,1,4,2,4,1,4,3,1,1,0,1,0,1,0,1,0,1,90,90,1,2,1,2,3,3,6,-3,-3,-3,1,0,7,3,7,3,0,3,-3,-3,1,-3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zenica
212,0,2,3,1,1,1,37,0.66763052,0.20304772,0.0416,66.764,4,4,3,1,3,3,4,1,0,4,5,1,3,1,0,"TV,Online website stranice,Facebook",5,4,3,1,4,4,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613,0.511310552,0.725731858,"1,5,6",-3,4,1,1,3,1,4,1,4,4,-2,2,1,-1,0,1,1,1,-1,1,100,100,2,2,1,3,2,1,7,-2,-2,-3,-1,1,7,3,7,3,3,3,-3,-3,-2,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
213,1,2,2,0,2,2,25,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,3,4,3,2,3,4,0,0,5,0,0,"Online website stranice,Facebook",5,2,2,1,4,2,2,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,4",-4,4,1,4,4,3,4,3,3,3,0,3,0,1,1,-1,1,0,0,0,100,100,1,1,1,1,4,1,5,-3,-3,-3,1,1,4,-3,7,3,0,0,-3,-3,-3,-3,3,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuzla
214,1,2,4,1,2,2,25,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,4,4,2,1,2,4,5,3,5,0,1,"Online website stranice,Facebook",5,1,2,1,4,4,2,1,2,3,2,10,777,46,85.03336511,87.10762332,1.121076233,5.156950673,87.10762332,776.3333333,39.83333333,70.33333333,84.50905624,87.57285204,4.493325813,7.933822147,87.57285204,0,0.511310552,0.725731858,1,-1,3,1,3,3,3,4,2,3,4,0,3,0,-1,1,1,0,0,1,0,60,95,2,2,0,3,2,2,6,-2,-3,-3,0,2,4,2,6,0,1,2,-2,-2,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,1,2,2,3,0,"Sarajevo,Tuzla,Bijeljina,Livno"
215,0,2,2,0,2,2,25,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,3,2,2,2,3,5,2,3,1,0,"TV,Online website stranice,Facebook",5,2,2,1,4,3,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321,0.511310552,0.725731858,1,-3,4,3,2,2,2,4,1,4,3,0,2,-1,0,0,1,0,1,0,1,90,90,2,2,1,3,3,2,6,-3,-3,-3,-3,0,4,-2,7,-1,3,3,-3,-3,-3,-3,0,-3,-4,-2,-2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
216,1,2,2,1,3,1,24,0.66763052,0.20304772,0.0416,66.764,4,4,2,3,1,2,3,2,4,4,5,0,5,1,0,"Novine (print),Online website stranice,Facebook",5,3,1,1,4,4,1,1,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,4,5",-3,5,2,2,3,1,4,1,4,3,-2,1,0,1,0,1,0,0,1,1,95,95,1,2,1,3,3,1,7,-3,-3,-3,0,1,6,3,7,0,3,3,-3,-3,-1,-1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Svejedno"
217,1,2,2,1,2,2,43,0.66763052,0.20304772,0.0416,66.764,4,4,3,2,2,4,4,1,1,3,1,0,1,1,1,"TV,Online website stranice,Facebook",5,1,2,1,4,4,0,4,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"4,5",-4,5,2,1,2,2,4,2,5,0,-4,3,0,0,0,1,0,0,0,1,100,30,2,1,1,1,2,1,1,-3,0,-3,0,1,4,0,4,2,3,3,-3,-2,-3,3,3,3,-4,-4,-4,1,0,3,-4,0,-3,-4,0,-4,-4,2,0,0,-4,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
218,0,2,2,0,2,2,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,2,3,1,3,2,4,5,2,5,0,0,"Online website stranice,Facebook",2,0,1,1,4,4,4,2,3,2,3,129,16,68,73.1170336,2.535657686,20.4437401,10.77654517,20.4437401,24.5,360.5,245.5,73.05909618,3.885804917,57.17684377,38.93735131,57.17684377,781,0.511310552,0.725731858,"1,2,6",-2,3,2,5,4,4,3,4,3,4,1,2,0,1,1,1,0,1,1,1,60,95,1,2,1,2,3,3,6,-3,-3,-3,-3,0,4,-1,5,-3,3,3,-3,-3,-3,-3,3,0,4,0,0,0,0,0,0,0,-2,-2,-1,1,-3,0,0,0,2,"Sarajevo,Zenica,Svejedno"
219,1,2,2,0,1,1,35,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,2,2,4,2,2,3,4,0,5,0,0,Online website stranice,1,1,2,1,4,2,0,2,0,3,3,1,299,6,79.8488665,94.32176656,0.315457413,1.892744479,94.32176656,302,6,9,79.8488665,95.2681388,1.892744479,2.839116719,95.2681388,0,0.511310552,0.725731858,"4,5",-4,5,1,1,3,2,5,1,4,2,-4,1,1,-1,-1,1,0,1,1,1,67,77,2,2,2,2,3,1,7,-3,-3,-3,-3,2,7,-3,7,1,2,2,-1,-1,-1,-3,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Svejedno"
220,1,2,2,0,1,1,22,0.66763052,0.20304772,0.0416,66.764,4,2,0,2,1,2,3,2,1,4,5,0,5,0,0,Online website stranice,2,1,1,1,4,3,3,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,5,-2,2,4,4,5,1,2,4,1,0,3,1,0,1,1,1,-1,1,1,1,60,95,1,2,1,3,3,2,6,-3,-3,-3,1,1,7,3,7,3,3,3,-3,-3,-3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno
221,0,2,4,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,1,4,3,2,2,2,5,4,5,0,0,"Online website stranice,Facebook",4,1,1,1,4,3,3,1,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,0.511310552,0.725731858,"1,3",2,4,3,3,3,4,3,3,3,2,0,3,0,1,0,1,0,-1,0,1,82,84,1,1,1,2,3,2,6,-3,-3,-3,-1,0,4,-3,4,-1,3,3,-3,-3,-3,-3,0,0,-1,1,-2,0,0,0,0,0,0,-1,0,0,-3,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
222,1,1,2,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,3,4,2,2,3,5,0,5,1,0,"TV,Online website stranice",5,2,2,1,3,2,4,1,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,3,4,6",0,3,4,3,4,3,5,3,3,3,2,2,1,1,0,1,0,0,0,1,83,100,1,2,1,2,3,3,7,-3,-3,-3,-2,2,2,-3,4,-3,3,3,-3,-3,-3,0,3,0,-2,4,1,0,2,0,0,0,4,0,2,1,0,0,1,1,0,Sarajevo
223,0,2,4,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,2,4,1,1,3,4,3,2,2,4,5,5,5,0,0,"TV,Facebook",4,2,1,1,4,4,3,4,4,3,3,0,103,10,84.39716312,86.55462185,0,8.403361345,86.55462185,105,2,12,84.39716312,88.23529412,1.680672269,10.08403361,88.23529412,714,0.511310552,0.725731858,"4,6",-2,3,2,3,3,1,3,2,3,1,-1,2,1,1,0,1,1,0,0,1,95,100,1,1,0,1,2,1,7,-3,-3,-3,-3,1,5,1,7,3,3,3,-3,-3,-3,2,-1,4,4,4,4,3,-4,-4,4,0,0,3,0,4,4,4,-2,-4,4,"Sarajevo,Banja Luka,Livno"
224,0,1,4,1,1,1,26,0.66763052,0.20304772,0.0416,66.764,4,3,2,2,2,3,3,3,2,3,2,1,4,1,0,"TV,Online website stranice",4,2,1,1,4,4,4,4,4,2,4,0,472,12,80.38277512,93.65079365,0,2.380952381,93.65079365,475,10,18.5,80.3030303,94.33962264,1.986097319,3.67428004,94.33962264,700,0.511310552,0.725731858,4,2,5,2,2,3,2,4,3,4,3,0,2,0,1,0,1,-1,1,-1,1,25,90,2,3,2,4,3,3,6,-1,1,1,2,5,3,-1,6,3,3,1,-2,1,1,-3,3,0,4,-1,0,-2,2,0,2,0,1,-4,-4,1,-3,3,-2,-4,2,"Tuzla,Prijedor,Druga lokacija"
225,0,2,2,1,1,1,26,0.66763052,0.20304772,0.0416,66.764,4,4,1,1,2,2,3,3,0,2,5,0,5,0,0,Facebook,4,1,1,1,4,4,4,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,485,0.511310552,0.725731858,5,-4,3,1,2,4,4,3,2,3,2,3,1,-1,-1,-1,1,0,0,0,1,90,96,1,1,1,1,3,1,6,-3,-3,-3,-3,0,6,3,7,2,3,3,-2,-3,-3,-3,3,-4,0,-3,-4,0,4,4,-4,0,4,4,-2,-2,-1,0,-1,-1,-2,Svejedno
226,1,2,5,1,0,1,27,0.66763052,0.20304772,0.0416,66.764,4,4,2,2,2,4,4,2,1,4,1,0,5,0,0,"TV,Online website stranice,Facebook",4,1,1,2,4,4,1,1,0,4,2,107,1118,110,39.22783603,67.92223572,6.500607533,6.682867558,67.92223572,1121.833333,254.3333333,244.3333333,38.62011439,69.22760465,15.69474442,15.07765093,69.22760465,0,0.511310552,0.725731858,"3,6",0,3,1,1,1,3,4,2,4,4,0,2,1,1,1,-1,1,1,1,1,100,100,2,3,1,3,3,2,7,-3,-3,-3,0,4,4,2,4,3,0,0,0,0,0,3,3,4,0,4,4,0,-3,-3,0,0,4,0,0,0,0,0,0,0,0,Svejedno
227,0,2,4,0,1,1,23,0.66763052,0.20304772,0.0416,66.764,4,4,1,2,1,3,3,1,2,4,5,4,5,0,0,Facebook,2,1,1,1,4,4,4,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263,0.511310552,0.725731858,"1,4",3,4,1,2,3,3,4,4,4,3,0,2,-1,1,-1,1,0,1,0,1,70,70,2,3,2,3,2,2,5,-3,-3,-3,-3,2,4,3,6,0,3,3,-2,-2,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno
228,0,2,4,0,1,1,27,0.66763052,0.20304772,0.0416,66.764,4,4,2,1,1,4,1,3,3,4,5,0,5,0,0,Facebook,3,1,2,1,4,3,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1133,0.511310552,0.725731858,5,-3,4,1,1,2,3,4,2,4,4,-2,1,0,0,0,1,0,0,0,1,60,80,1,2,1,2,2,2,7,-2,-2,-1,-1,4,6,-3,7,1,2,3,-2,-2,0,-2,-1,-2,-1,-1,-1,2,1,2,-3,2,-2,-1,1,1,-2,2,-1,2,-3,Svejedno
229,1,2,2,0,-1,1,20,0.66763052,0.20304772,0.0416,66.764,4,4,1,3,1,4,4,2,2,4,5,5,5,0,0,"Online website stranice,Facebook",2,3,3,0,4,4,2,4,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,3,4",-4,5,2,2,2,3,4,2,4,4,-2,3,1,-1,1,1,0,0,1,0,80,100,1,1,0,1,1,1,7,-3,-3,-3,-3,0,7,-1,7,-3,3,3,0,0,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno"
230,1,2,4,1,3,1,46,0.66763052,0.20304772,0.0416,66.764,4,3,1,2,3,4,3,2,2,3,2,0,2,0,0,"TV,Facebook",3,1,1,1,4,4,4,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.511310552,0.725731858,"1,4,5",-4,5,1,1,1,1,4,1,5,3,-2,3,0,0,0,1,0,0,0,1,80,70,1,2,1,3,1,2,6,-3,-3,-3,-2,1,1,3,7,2,3,3,-1,0,0,-1,-1,-3,-2,-1,-1,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Druga lokacija"
