code,attrition,treatment,gender,educ,employ1,ethn,entity,age,bosniak,croat,serb,time_usage,freq_usage,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,othersm_1,othersm_2,othersm_3,othersm_4,othersm_5,freq_news,politics_int,numb_forums,trust_media.1,imp_family,imp_career,imp_relg,imp_neigh,imp_ethn,imp_hobby,imp_cntry,matched_percentage.3,percentage_bosniak.3,percentage_serbian.3,percentage_croatian.3,largest_majority_online,fractionalization_offline_index,shannon_offline,activ,satisf,depression,loneliness,nerv,boredom,joy,isol,fulf,no_friends,freq_fbnews,fbnews_st1,fbnews_st2,fbnews_st3,fbnews_st4,fbnews_st5,fbnews_st6,fbnews_st7,fbnews_st8,outfeel_therm,infeel_therm,trust_pol,trust_inst,trust_media,trust_police,trust_ngo,trust_relg,sd,agr_st1,agr_st2,agr_st3,agr_st4,trust_gov,agr_st5,agr_st6,agr_st7,agr_st8,agr_st9,agr_st10,agr_st11,agr_st12,agr_st13,agr_st14,agr_st15,oth_honest,oth_patriot,oth_broadv,oth_gener,oth_hyp,oth_self,oth_unreliab,oth_intel,oth_evil,in_honest,in_patriot,in_evil,in_broadv,in_gener,in_hyp,in_self,in_unreliab,in_intel,donation,online_data
83,0,0,2,1,0,-2,1,32,0.97,0.002,0.003,4,4,1,1,2,1,4,1,0,4,5,0,1,0,0,4,0,2,0,4,1,2,2,0,2,2,NA,NA,NA,NA,NA,0.059087,0.059402076,"2,3,4",5,1,1,2,1,5,1,5,2,1,1,-1,1,1,1,-1,0,1,96,80,1,2,0,2,2,1,7,-3,-3,-3,-3,1,2,3,7,1,3,3,-3,-3,-3,-2,-3,0,0,1,-2,0,1,0,0,0,-2,0,0,-1,-1,1,1,1,0,Tuzla,0
84,0,1,1,2,1,1,1,29,0.97,0.002,0.003,4,4,1,2,1,2,1,1,2,2,0,0,2,0,0,4,0,1,1,4,2,3,2,2,3,4,79.89821883,90.60509554,4.617834395,4.777070064,90.60509554,0.059087,0.059402076,"3,4",4,3,2,3,3,4,1,4,3,2,0,0,0,0,1,0,1,0,88,88,1,1,1,2,2,1,3,3,-3,-3,-3,1,1,0,4,0,3,3,-3,-3,-2,-3,-2,-2,0,-1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,0,-1,"Sarajevo,Doboj,Tuzla,Banja Luka",1
85,0,0,2,2,1,-2,1,24,0.944,0.023,0.009,4,4,2,4,2,1,3,1,1,3,5,0,5,1,0,4,1,1,0,3,4,1,2,0,4,2,79.8488665,95.2681388,1.892744479,2.839116719,95.2681388,0.108254,0.183558663,"1,4,6",3,3,2,3,1,1,3,1,4,2,-1,1,-1,1,0,1,1,1,100,11,1,2,1,3,5,2,7,-3,-3,-3,3,0,1,-3,7,3,3,3,-3,-3,-3,-3,3,0,4,4,4,2,-4,-4,4,-4,4,4,-4,4,4,4,-4,-4,4,"Sarajevo,Prijedor",1
86,0,1,1,2,1,1,1,21,0.944,0.023,0.009,4,3,2,2,2,3,4,2,1,3,5,1,2,0,0,2,1,1,1,2,4,1,1,1,3,1,NA,NA,NA,NA,NA,0.108254,0.183558663,5,3,2,2,2,3,2,2,2,4,2,1,1,0,0,-1,-1,1,1,88,70,1,2,1,1,2,1,7,-3,-3,-3,-1,0,1,0,4,-2,3,3,-3,-3,0,0,1,-2,-2,4,-1,0,0,4,-2,-4,-2,-2,0,-4,0,0,-2,-4,4,"Doboj,Tuzla",0
87,0,1,1,2,0,1,1,19,0.944,0.023,0.009,4,4,0,1,1,2,4,1,1,2,5,5,5,0,1,2,1,1,1,4,3,4,2,4,2,4,NA,NA,NA,NA,NA,0.108254,0.183558663,2,5,1,1,1,2,3,2,3,4,1,0,-1,0,0,0,0,0,0,55,95,3,3,2,4,3,4,6,-3,-2,-3,-2,6,3,1,6,1,2,2,1,0,0,1,-1,0,0,-1,3,-2,-2,-3,0,-3,-1,1,-2,2,0,0,0,-2,0,Svejedno,0
88,0,0,2,2,1,0,1,41,0.944,0.023,0.009,4,4,3,2,0,1,4,2,0,4,1,0,1,0,0,5,3,2,2,4,3,3,2,2,1,4,NA,NA,NA,NA,NA,0.108254,0.183558663,6,4,2,1,2,1,3,1,3,4,2,1,0,1,1,1,0,1,1,60,50,2,2,2,3,2,2,6,-2,-2,-2,0,2,7,-2,7,1,1,1,-3,-3,-3,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tuzla,Bijeljina,Livno,Svejedno",0
89,0,0,2,2,0,1,1,34,0.147,0.016,0.809,4,4,2,2,2,3,2,2,2,3,5,1,5,1,0,5,1,1,3,4,1,3,1,3,4,2,NA,NA,NA,NA,NA,0.323654,0.519481797,6,4,1,1,2,3,5,1,4,3,1,-1,-1,-1,-1,1,-1,1,1,70,89,2,4,4,5,4,4,6,-3,-3,-3,0,3,7,2,6,2,3,2,1,1,2,0,-1,-3,-2,-4,-2,-1,1,2,-4,3,-3,-3,3,-4,-4,-2,4,3,-4,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija,Svejedno",0
90,0,1,2,4,1,-1,1,31,0.147,0.016,0.809,4,4,1,1,1,4,4,2,2,2,3,0,2,0,0,4,1,2,0,4,3,1,3,1,2,3,NA,NA,NA,NA,NA,0.323654,0.519481797,"1,4,5",4,2,2,2,3,4,2,4,3,3,-1,0,0,-1,-1,1,1,0,71,82,1,1,0,1,3,1,7,-3,-3,-3,-3,1,4,3,7,-3,3,3,-3,-3,-3,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tuzla, Banja Luka",0
91,0,0,1,3,1,1,1,43,0,0.995,0.001,4,4,3,3,3,3,3,2,3,3,3,0,2,0,0,4,4,2,1,4,0,4,4,4,4,4,NA,NA,NA,NA,NA,0.009974,-0.001920276,"1,3",4,3,2,3,2,4,1,2,4,3,0,1,1,1,1,1,-1,1,12,50,1,1,1,1,2,1,6,-3,3,-3,-3,1,7,2,1,-3,-3,-2,0,-3,-3,0,-3,4,4,4,4,0,1,2,-2,-3,-2,-3,-4,2,2,0,-4,-4,-4,Tomislavgrad,0
92,0,1,1,2,1,1,1,27,0.926,0.007,0.009,4,4,1,1,1,2,3,1,1,3,5,0,5,0,0,4,0,1,1,4,4,4,3,3,4,4,NA,NA,NA,NA,NA,0.142394,0.148319539,"4,5",5,3,2,2,2,3,2,4,0,2,0,-1,0,1,0,1,1,1,49,77,1,2,0,3,2,2,7,-3,-3,-3,-3,2,1,-3,4,-1,3,3,-2,-1,0,0,3,0,0,0,-4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija,Svejedno",0
93,0,1,2,2,0,1,1,44,0.926,0.007,0.009,4,4,1,0,1,3,3,1,2,2,5,1,5,0,0,5,2,2,1,4,3,2,3,4,4,4,84.64285714,86.63853727,4.992967651,8.368495077,86.63853727,0.142394,0.148319539,6,4,3,3,4,4,3,2,2,3,2,0,1,0,1,-1,0,0,1,50,70,1,1,3,2,1,1,6,-3,-3,-3,-3,1,7,1,7,-3,3,3,-3,-2,-1,2,3,0,-3,-1,-2,0,0,-1,-2,0,1,-4,0,1,-2,0,2,0,0,"Doboj,Prijedor",1
94,0,0,1,2,1,-1,2,33,0.926,0.007,0.009,4,3,1,1,2,2,2,2,2,1,0,0,2,0,0,4,2,1,1,4,3,4,3,2,1,4,NA,NA,NA,NA,NA,0.142394,0.148319539,5,4,2,2,2,3,4,3,3,1,2,1,1,0,1,0,0,0,1,0,50,1,1,0,3,2,2,1,-3,-3,-3,-3,1,7,1,3,-3,0,0,0,1,0,0,3,2,1,0,0,1,0,0,0,2,4,-4,0,1,-1,2,0,0,0,"Sarajevo,Zenica",0
95,0,1,1,4,1,1,1,37,0.926,0.019,0.021,4,4,2,2,2,3,2,2,2,2,0,0,0,0,0,5,3,3,1,4,3,3,2,1,2,4,NA,NA,NA,NA,NA,0.141722,0.227622746,6,4,1,1,1,1,3,1,4,3,2,0,1,1,1,-1,1,1,1,50,82,1,2,1,2,3,3,5,-3,-2,-2,2,3,4,-1,3,-1,2,2,-2,2,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno,0
96,0,0,2,2,1,1,1,45,0.926,0.019,0.021,4,4,2,1,2,3,2,0,1,2,0,0,2,0,0,4,1,1,1,4,3,2,3,3,3,4,81.96721311,94.5,1.214285714,4.285714286,94.5,0.141722,0.227622746,2,3,3,1,3,1,3,1,5,2,3,0,-1,1,1,-1,-1,1,1,70,88,1,1,1,2,3,2,4,-3,-3,-3,1,2,5,1,3,1,3,3,-3,-1,-1,3,2,0,0,-3,2,1,1,2,0,1,-2,-3,4,0,0,0,0,0,1,Svejedno,1
97,0,0,1,3,1,1,2,22,0.021,0.008,0.955,4,4,2,1,2,3,0,3,1,3,5,0,5,0,0,2,0,1,1,3,4,0,2,1,4,2,NA,NA,NA,NA,NA,0.08747,0.163726361,"1,4",4,2,2,2,3,4,3,4,4,3,0,0,0,0,0,0,0,0,80,70,1,1,1,3,3,1,7,3,-3,-3,-3,2,1,3,1,-3,3,3,-3,-3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sarajevo,Zenica,Doboj,Tuzla,Banja Luka,Bijeljina,Prijedor,Tomislavgrad,Livno,Druga lokacija",0
98,0,1,2,4,0,0,1,42,0.021,0.008,0.955,4,4,1,1,1,1,3,1,1,1,4,0,5,0,0,5,2,1,2,4,3,4,3,4,3,3,NA,NA,NA,NA,NA,0.08747,0.163726361,"4,5,6",4,5,1,3,2,4,1,5,3,3,0,0,0,0,0,0,1,0,100,100,1,1,0,2,1,3,1,0,0,0,0,1,4,3,7,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Svejedno,0
99,0,0,2,4,1,-1,2,30,0.021,0.008,0.955,4,4,1,1,2,4,4,2,3,3,5,0,5,0,0,3,1,1,2,4,2,1,2,2,3,2,NA,NA,NA,NA,NA,0.08747,0.163726361,"1,5",5,2,2,4,3,4,1,4,3,1,0,1,1,1,-1,1,1,0,85,85,2,2,0,2,3,1,6,1,-3,-3,1,2,2,2,5,1,2,2,-2,0,-2,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sarajevo,0
100,0,1,2,2,0,1,3,32,0.021,0.008,0.955,4,4,2,1,1,4,2,1,2,2,5,0,5,0,0,5,2,3,1,4,3,3,1,2,2,1,NA,NA,NA,NA,NA,0.08747,0.163726361,"1,2,3,4",3,1,1,2,2,4,2,4,2,1,0,-1,0,0,-1,-1,-1,1,55,100,1,1,0,2,2,2,6,-3,-3,-3,-3,0,4,-3,4,-3,3,3,-3,-3,-3,-3,3,0,-2,-1,-1,0,-1,-3,-4,-1,4,-4,-2,4,4,0,-4,-2,0,"Sarajevo, Zenica, Doboj, Tuzla, Prijedor, Tomislavgrad, Livno",0
101,0,0,2,2,0,1,1,36,0.895,0.072,0.006,4,4,2,2,2,3,4,1,2,3,2,0,3,0,0,2,1,1,2,4,2,4,3,2,3,4,NA,NA,NA,NA,NA,0.193755,0.319418141,"4,5",5,1,1,1,2,5,1,5,2,1,0,-1,0,1,-1,1,1,1,100,100,3,3,2,2,3,3,6,-3,-3,-3,-3,1,4,-1,4,-1,0,3,0,-1,0,0,3,0,0,-1,-1,0,-3,0,0,0,1,-4,0,0,-2,0,0,-1,-4,Druga lokacija,0
102,0,0,1,4,1,1,1,27,0.487,0.461,0.018,4,4,1,1,1,2,3,1,2,4,0,0,3,0,1,4,2,1,1,4,4,4,3,4,3,4,NA,NA,NA,NA,NA,0.549986,0.779683782,4,5,1,1,2,1,4,2,4,0,1,0,1,0,1,0,0,0,1,80,80,1,2,1,4,1,1,7,-3,-3,-3,3,4,7,0,7,3,3,3,0,-1,2,3,-1,-4,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,Druga lokacija,0
103,0,0,1,4,1,1,1,30,0.94,0.034,0.005,4,4,2,1,2,4,4,4,2,4,5,3,4,0,0,5,4,2,1,4,3,3,2,1,2,3,79.9886299,78.84387586,9.423122483,11.73300166,78.84387586,0.115219,0.199621888,"1,2,4",3,1,3,3,3,4,2,4,4,2,0,1,1,1,1,1,0,1,62,60,1,3,1,3,4,1,7,-3,-3,-3,-3,4,7,-3,7,1,3,2,-1,-3,-2,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zenica,Doboj,Livno",1
104,0,0,2,2,0,1,1,23,0.864,0.079,0.008,4,4,2,3,3,4,4,2,2,4,0,0,2,0,0,4,2,3,1,4,4,4,4,4,4,4,39.87240829,88,5.2,6.8,NA,0.247199,0.365454485,4,4,3,3,3,2,3,2,3,3,2,0,0,0,0,0,0,0,-1,30,60,1,1,1,1,2,2,6,-3,-3,-3,-3,0,5,-1,4,-2,3,1,-3,-3,-3,-1,3,0,3,3,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,Druga lokacija,1
105,0,0,2,4,1,0,1,34,0.864,0.079,0.008,4,4,3,2,3,3,3,2,3,4,5,0,2,0,0,4,2,3,2,4,4,4,4,2,3,4,82.07472178,81.6787732,8.942695722,9.378531073,81.6787732,0.247199,0.365454485,4,4,2,2,3,1,4,1,4,4,2,0,1,-1,1,0,0,0,1,81,81,1,1,2,3,3,3,6,-3,-3,-3,0,1,4,3,4,0,0,3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Zenica,Druga lokacija",1
106,0,1,2,2,0,-1,1,21,0.864,0.079,0.008,4,4,2,2,2,3,4,1,1,3,1,0,5,0,0,5,2,1,2,4,2,4,2,4,2,4,88.33333333,96.69811321,0.471698113,2.830188679,96.69811321,0.247199,0.365454485,"3,4",5,1,2,3,2,4,1,5,2,1,0,-1,1,1,0,1,1,1,85,100,2,2,2,3,2,2,6,3,-3,-3,1,2,7,-3,4,-1,3,3,-3,-3,0,-2,0,-3,0,2,-3,0,1,2,1,4,-2,-4,-3,-4,-3,0,3,2,0,Zenica,1
107,0,1,2,4,0,1,1,25,0.864,0.079,0.008,4,4,1,3,2,3,3,1,1,4,5,0,5,0,0,4,1,1,1,4,4,4,2,3,3,3,NA,NA,NA,NA,NA,0.247199,0.365454485,4,4,2,2,3,2,4,1,4,3,1,0,1,0,1,0,1,1,1,50,50,4,3,1,3,3,4,6,-2,-3,-3,0,3,7,3,7,-3,3,-1,-3,-3,0,-3,3,0,-4,-2,4,-2,0,0,0,-3,4,4,-2,4,0,-4,-4,-4,4,"Sarajevo,Zenica,Druga lokacija",0
